Straße ;Planquadrat ;Datum der Benennung;Informationen zur Benennung 
Europaplatz ;(J 9) ;26. Feb 60;Wurde lt Mag.-Beschluß vom 30.08.2000 verlegt ( früher Mathildenhöhe, jetzt am Hauptbahnhof) 
Frankfurter Landstraße ;A-F 8-9 ;25. September 1953 26. Juni 1953 ;Stadtteil Arheilgen, Stadtteil Wixhausen,Benennung nach der Stadt Frankfurt am Main, nördl. von Darmstadt. 
Am Hessenwald;B 6 ;21. Sep 77;Stadtteil Wixhausen, Benennung nach einem Waldstück 
Hinter den Gehren ;B 7 ;05. Jul 89;Benannt nach einer Gewannbezeichnung, die auf diekeilförmigen Äcker in diesem Gebiet hinweist (Gehren = Zwickel, Keil) 
Im Steinfeld ;B 7 ;01. Jan 77;Benannt nach einer Gewannbezeichnung. 
In den Birkenäckern ;B 7 ;01. Jan 77;Benannt nach einem Gewann nördl. von Wixhausen. 
Dieter-Böhne-Weg ;B 8 ;25. Jun 08;Benannt nach Dr. Dieter Böhne (1935- 2001), Leiter des Beschleunigerbereiches und Mitglied im Wissenschaftlichen Direktorium der GSI. 
Elsa-Neumann-Weg ;B 8 ;25. Jun 08;Benannt nach Elsa Neumann (1872- 1902), promovierte als erste Frau im Fach Physik an der Berliner Universität 
Hedwig-Kohn-Weg ;B 8 ;25. Jun 08;Benannt nach Hedwig Kohn (1887- 1964), Physikerin. 
Hertha-Sponer-Weg ;B 8 ;25. Jun 08;Benannt nach Hertha Sponer (1895- 1968), Physikerin. 
Peter-Brix-Weg ;B 8 ;25. Jun 08;Benannt nach Prof. Peter Brix (1918- 2007), Kernphysiker und Gründer des Intitutes für Kernphysik an der TU Darmstadt 
Brühlstraße ;B-C 7 ;01. Jan 77;Benannt nach der Gewannbezeichnung ' In den Brühlwiesen ' nach einer mit Buschwerk bestandenen Wiese. 
Erzhäuser Straße ;B-C 7 ;01. Jan 77;Benennung nach der Gemeinde Erzhausen nördl. von Wixhausen. 
Ohlenbergweg ;B-C 7 ;01. Jan 77;Benannt nach der Gewannbezeichnung 'Am Ohlenberg' 
Römergasse ;B-C 7 ;01. Jan 77;Benannt nach den Römern, die auch Südhessen kulturell mitprägten. 
